Combinacion;Piso;Ubicacion;P;M2;M3
1.308D+0.5L+SY (MAX);1;down;-68.2509;1.8198;14.6464
1.308D+0.5L+SY MIN;6;up;-14.071;-2.4323;-5.8582
1.308D+0.5L+SY MIN;6;down;-12.4642;0.0341;2.0875
1.308D+0.5L+SY MIN;5;up;-32.8159;-2.252;-7.2409
1.308D+0.5L+SY MIN;5;down;-31.209;-0.5125;-3.0986
1.308D+0.5L+SY MIN;4;up;-52.1701;-2.4982;-9.8398
1.308D+0.5L+SY MIN;4;down;-50.5632;-0.7331;-3.9015
1.308D+0.5L+SY MIN;3;up;-72.4604;-2.7956;-11.9099
1.308D+0.5L+SY MIN;3;down;-70.8536;-0.949;-4.266
1.308D+0.5L+SY MIN;2;up;-93.8416;-3.1216;-10.777
1.308D+0.5L+SY MIN;2;down;-92.2348;-1.131;-5.7326
1.308D+0.5L+SY MIN;1;up;-117.9684;-3.8642;-38.4596
1.308D+0.5L+SY MIN;1;down;-114.3014;-1.431;-7.2215
0.792D+SY MAX;6;up;-6.0435;0.4263;-0.8007
0.792D+SY MAX;6;down;-5.0705;1.5935;6.7034
0.792D+SY MAX;5;up;-12.2272;0.5318;0.0298
0.792D+SY MAX;5;down;-11.2543;1.2026;8.056
0.792D+SY MAX;4;up;-17.4182;1.0368;2.2771
0.792D+SY MAX;4;down;-16.4453;1.4311;8.5199
0.792D+SY MAX;3;up;-21.6861;1.4745;4.2748
0.792D+SY MAX;3;down;-20.7131;1.5636;8.6696
0.792D+SY MAX;2;up;-25.084;1.9747;1.3817
0.792D+SY MAX;2;down;-24.111;1.5582;9.7515
0.792D+SY MAX;1;up;-29.4146;3.3639;36.6793
0.792D+SY MAX;1;down;-27.1943;1.7284;12.8806
0.792D+SY MIN;6;up;-8.6619;-1.9382;-3.5702
0.792D+SY MIN;6;down;-7.6889;-0.4394;-0.2315
0.792D+SY MIN;5;up;-19.8154;-1.7761;-5.0199
0.792D+SY MIN;5;down;-18.8424;-0.6517;-4.7868
0.792D+SY MIN;4;up;-32.1663;-2.0594;-7.5257
0.792D+SY MIN;4;down;-31.1933;-0.9562;-5.3024
0.792D+SY MIN;3;up;-45.4424;-2.3928;-9.4395
0.792D+SY MIN;3;down;-44.4695;-1.134;-5.589
0.792D+SY MIN;2;up;-59.5064;-2.7759;-7.8415
0.792D+SY MIN;2;down;-58.5334;-1.2657;-7.026
0.792D+SY MIN;1;up;-75.4652;-3.7105;-37.9187
0.792D+SY MIN;1;down;-73.2448;-1.5224;-8.9873
