0	1.07296875
0.1	1.07296875
0.2	1.07296875
0.3	1.07296875
0.4	1.07296875
0.5	1.07296875
0.6	1.07296875
0.7	1.07296875
0.8	1.07296875
0.9	1.07296875
1	1.07296875
1.1	0.975426136
1.2	0.894140625
1.3	0.825360577
1.4	0.76640625
1.5	0.7153125
1.6	0.670605469
1.7	0.594031142
1.8	0.529861111
1.9	0.475554017
2	0.4291875
2.1	0.389285714
2.2	0.354700413
2.3	0.32452741
2.4	0.298046875
2.5	0.27468
2.6	0.253957101
2.7	0.235493827
2.8	0.218973214
2.9	0.204131986
3	0.19075
3.1	0.17864204
3.2	0.167651367
3.3	0.157644628
3.4	0.148507785
3.5	0.140142857
3.6	0.132465278
3.7	0.125401753
3.8	0.118888504
3.9	0.112869822
4	0.107296875
