0	1.430625
0.1	1.430625
0.2	1.430625
0.3	1.430625
0.4	1.430625
0.5	1.430625
0.6	1.430625
0.7	1.430625
0.8	1.430625
0.9	1.430625
1	1.430625
1.1	1.300568182
1.2	1.1921875
1.3	1.100480769
1.4	1.021875
1.5	0.95375
1.6	0.894140625
1.7	0.792041522
1.8	0.706481481
1.9	0.634072022
2	0.57225
2.1	0.519047619
2.2	0.472933884
2.3	0.432703214
2.4	0.397395833
2.5	0.36624
2.6	0.338609467
2.7	0.31399177
2.8	0.291964286
2.9	0.272175981
3	0.254333333
3.1	0.238189386
3.2	0.223535156
3.3	0.210192837
3.4	0.198010381
3.5	0.186857143
3.6	0.17662037
3.7	0.167202337
3.8	0.158518006
3.9	0.150493097
4	0.1430625
